file_path,label,load_hp,fault_diameter_mils,warnings
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\028\3005_0.mat,B,0,28.0,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF."
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\028\3006_1.mat,B,1,28.0,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF."
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\028\3007_2.mat,B,2,28.0,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF."
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\028\3008_3.mat,B,3,28.0,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF."
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\028\3001_0.mat,IR,0,28.0,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF."
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\028\3002_1.mat,IR,1,28.0,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF."
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\028\3003_2.mat,IR,2,28.0,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF."
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\028\3004_3.mat,IR,3,28.0,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF."
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@12\156_0.mat,OR,0,7.0,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@12\158_1.mat,OR,1,7.0,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@12\159_2.mat,OR,2,7.0,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@12\160_3.mat,OR,3,7.0,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@3\144_0.mat,OR,0,7.0,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@3\145_1.mat,OR,1,7.0,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@3\146_2.mat,OR,2,7.0,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@3\147_3.mat,OR,3,7.0,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@12\258_0.mat,OR,0,21.0,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@12\259_1.mat,OR,1,21.0,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@12\260_2.mat,OR,2,21.0,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@12\261_3.mat,OR,3,21.0,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@3\246_0.mat,OR,0,21.0,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@3\247_1.mat,OR,1,21.0,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@3\248_2.mat,OR,2,21.0,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@3\249_3.mat,OR,3,21.0,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\007\282_0.mat,B,0,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\007\283_1.mat,B,1,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
