file_path,load_hp,label,fault_diameter_mils,or_position,source_category,sensor_location,declared_sample_rate_khz,n_samples_DE,n_samples_FE,n_samples_BA,rpm_from_file,read_error,warnings,has_warning
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\007\118_0.mat,0,B,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122571,122571.0,122571.0,1796.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\007\119_1.mat,1,B,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121410,121410.0,121410.0,1772.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\007\120_2.mat,2,B,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121556,121556.0,121556.0,1748.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\007\121_3.mat,3,B,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121556,121556.0,121556.0,1722.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\014\185_0.mat,0,B,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1796.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\014\186_1.mat,1,B,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1772.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\014\187_2.mat,2,B,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1749.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\014\188_3.mat,3,B,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1724.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\021\222_0.mat,0,B,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1796.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\021\223_1.mat,1,B,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121701,121701.0,121701.0,1774.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\021\224_2.mat,2,B,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1754.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\021\225_3.mat,3,B,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1729.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\028\3005_0.mat,0,B,28.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,120801,,,,,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF.",True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\028\3006_1.mat,1,B,28.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121351,,,,,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF.",True
