file_path,load_hp,label,fault_diameter_mils,or_position,source_category,sensor_location,declared_sample_rate_khz,n_samples_DE,n_samples_FE,n_samples_BA,rpm_from_file,read_error,warnings,has_warning,fs
..\..\data\clean\118_0.mat,0,B,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122571,122571.0,122571.0,1796.0,,,False,12000
..\..\data\clean\119_1.mat,1,B,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121410,121410.0,121410.0,1772.0,,,False,12000
..\..\data\clean\120_2.mat,2,B,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121556,121556.0,121556.0,1748.0,,,False,12000
..\..\data\clean\121_3.mat,3,B,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121556,121556.0,121556.0,1722.0,,,False,12000
..\..\data\clean\185_0.mat,0,B,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1796.0,,,False,12000
..\..\data\clean\186_1.mat,1,B,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1772.0,,,False,12000
..\..\data\clean\187_2.mat,2,B,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1749.0,,,False,12000
..\..\data\clean\188_3.mat,3,B,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1724.0,,,False,12000
..\..\data\clean\222_0.mat,0,B,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1796.0,,,False,12000
..\..\data\clean\223_1.mat,1,B,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121701,121701.0,121701.0,1774.0,,,False,12000
..\..\data\clean\224_2.mat,2,B,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1754.0,,,False,12000
..\..\data\clean\225_3.mat,3,B,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1729.0,,,False,12000
..\..\data\clean\105_0.mat,0,IR,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121265,121265.0,121265.0,1797.0,,,False,12000
..\..\data\clean\106_1.mat,1,IR,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1772.0,,,False,12000
..\..\data\clean\107_2.mat,2,IR,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1748.0,,,False,12000
..\..\data\clean\108_3.mat,3,IR,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122917,122917.0,122917.0,1721.0,,,False,12000
..\..\data\clean\169_0.mat,0,IR,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1796.0,,,False,12000
..\..\data\clean\170_1.mat,1,IR,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1774.0,,,False,12000
..\..\data\clean\171_2.mat,2,IR,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1752.0,,,False,12000
..\..\data\clean\172_3.mat,3,IR,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121701,121701.0,121701.0,1728.0,,,False,12000
..\..\data\clean\209_0.mat,0,IR,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1797.0,,,False,12000
..\..\data\clean\210_1.mat,1,IR,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121556,121556.0,121556.0,1774.0,,,False,12000
..\..\data\clean\211_2.mat,2,IR,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1752.0,,,False,12000
..\..\data\clean\212_3.mat,3,IR,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1728.0,,,False,12000
..\..\data\clean\130@6_0.mat,0,OR,7.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1796.0,,,False,12000
..\..\data\clean\131@6_1.mat,1,OR,7.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122426,122426.0,122426.0,1773.0,,,False,12000
..\..\data\clean\132@6_2.mat,2,OR,7.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121410,121410.0,121410.0,1750.0,,,False,12000
..\..\data\clean\133@6_3.mat,3,OR,7.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122571,122571.0,122571.0,1725.0,,,False,12000
..\..\data\clean\197@6_0.mat,0,OR,14.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1796.0,,,False,12000
..\..\data\clean\198@6_1.mat,1,OR,14.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1772.0,,,False,12000
..\..\data\clean\199@6_2.mat,2,OR,14.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1749.0,,,False,12000
..\..\data\clean\200@6_3.mat,3,OR,14.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1723.0,,,False,12000
